,Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,TotalCharges,TenureinMonths,MonthlyCharge
10,0017-DINOC,male,47,No,0,Rancho Santa Fe,92091,32.99356,-117.207121,0,54,0,No,0.0,0,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0.0,0,0.0,2460.55,Stayed,0,0,0.07950750218186142,0.8807234049149972,-0.5895718150260196
11,0017-IUDMW,female,25,Yes,2,Sunnyvale,94086,37.378541,-122.020456,2,72,0,Yes,16.01,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0.0,0,1152.72,9609.47,Stayed,0,0,2.7255985737161508,1.614210213225845,1.7051140709410506
12,0018-NYROU,female,58,Yes,0,Antelope,95843,38.715498,-121.363411,0,5,0,Yes,18.65,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0,93.25,444.75,Stayed,0,0,-0.8512050114800234,-1.115990684375644,0.17158446698121388
13,0019-EFAEP,female,32,No,0,La Mesa,91942,32.782501,-117.01611,0,72,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0.0,0,162.0,7423.25,Stayed,0,0,2.19803080145718,1.614210213225845,1.2083594447889612
14,0019-GFNTW,female,39,No,0,Los Olivos,93441,34.70434,-120.02609,0,56,0,No,0.0,0,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0.0,0,0.0,2560.1,Stayed,0,0,0.12343838610355146,0.962221939171758,-0.5943791178597497
15,0020-INWCK,female,58,Yes,2,Woodlake,93286,36.464635,-119.094348,9,71,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0.0,0,1935.46,8784.86,Stayed,0,0,2.0162835935902974,1.5734609460974645,1.0304892399409553
16,0020-JDNXP,female,52,Yes,1,Point Reyes Station,94956,38.060264,-122.830646,0,34,0,No,0.0,0,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,0,0.0,1993.2,Stayed,0,0,-0.12673155960419485,0.06573806234738858,-0.07519041181692089
17,0021-IKXGC,female,72,No,0,San Marcos,92078,33.119028,-117.166036,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.87,Joined,0,0,-0.9745027409397947,-1.2789877528891658,0.2725378264895414
18,0022-TCJCI,male,79,No,0,Daly City,94015,37.680844,-122.48131,0,45,0,Yes,10.67,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services,0.22555397163322605,0.5139800007595733,-0.0287198177575318
19,0023-HGHWL,male,67,No,0,Morgan Hill,95037,37.161544,-121.649371,0,1,0,No,0.0,0,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,Churned,Competitor,Competitor made better offer,-0.9952435902046811,-1.2789877528891658,-1.2337503947458257
20,0023-UYUPN,female,79,Yes,0,Ahwahnee,93601,37.375816,-119.739935,0,50,0,Yes,31.43,Yes,No,0,0.0,0,0,0,0,0,0,0,0,One Year,No,Bank Withdrawal,25.2,1306.3,0.0,0,1571.5,2877.8,Stayed,0,0,-0.429856865137183,0.7177263364014754,-1.230545526190006
21,0023-XUOPT,female,26,Yes,0,Carnelian Bay,96140,39.227434,-120.091806,1,13,0,Yes,43.56,Yes,Yes,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,Churned,Other,Don't know,-0.4698822912717616,-0.7899965473486005,0.9776089087699262
22,0027-KWYKW,female,30,Yes,2,Alpaugh,93201,35.869626,-119.498771,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0.0,0,802.93,2652.88,Stayed,0,0,-0.1899470203955772,-0.3825038760647962,0.6459050132425636
23,0030-FNXPP,female,22,No,0,Keeler,93530,36.560498,-117.962461,0,3,0,Yes,3.12,No,No,0,0.0,0,0,0,0,0,0,0,0,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0,9.36,66.56,Joined,0,0,-0.9810780314514289,-1.1974892186324049,-1.4020059939263723
24,0031-PVLZI,female,34,Yes,0,Korbel,95550,40.7666,-123.80458,0,4,Offer E,Yes,12.43,No,No,0,0.0,0,0,0,0,0,0,0,0,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0,49.72,126.07,Churned,Price,Long distance charges,-0.9726272386126508,-1.1567399515040244,-1.3859816511472725
25,0032-PGELS,female,37,Yes,1,Palomar Mountain,92060,33.309852,-116.823091,1,1,0,No,0.0,0,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,Churned,Attitude,Attitude of service provider,-0.9928605990125452,-1.2789877528891658,-1.0606874927315495
26,0036-IHMOT,female,37,Yes,3,Parlier,93648,36.622237,-119.521126,10,55,0,Yes,35.04,No,Yes,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0.0,20,1927.2,7603.95,Stayed,0,0,1.4899735111271761,0.9214726720433777,1.2852762901286399
27,0040-HALCW,male,42,Yes,3,Modesto,95358,37.612612,-121.108568,3,54,0,Yes,19.7,No,No,0,0.0,0,0,0,0,0,0,0,0,Two Year,No,Credit Card,20.4,1090.6,0.0,0,1063.8,2154.4,Stayed,0,0,-0.5250441244230551,0.8807234049149972,-1.3843792168693627
28,0042-JVWOJ,male,64,No,0,Glen Ellen,95442,38.368744,-122.522642,0,26,Offer C,Yes,37.7,No,No,0,0.0,0,0,0,0,0,0,0,0,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8,Stayed,0,0,-0.7980951985219581,-0.2602560746796549,-1.410018165315922
29,0042-RLHYP,female,47,Yes,3,Eureka,95503,40.737431,-124.108897,5,69,0,Yes,38.39,No,No,0,0.0,0,0,0,0,0,0,0,0,Two Year,No,Bank Withdrawal,19.7,1396.9,0.0,0,2648.91,4045.81,Stayed,0,0,-0.3898755684691254,1.4919624118407038,-1.4068132967601021
30,0048-LUMLS,male,23,Yes,3,Moss Beach,94038,37.515556,-122.502311,1,37,Offer C,Yes,43.01,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0.0,0,1591.37,4838.92,Stayed,0,0,0.4268064037024054,0.18798586373252987,0.8846677206511485
31,0048-PIHNL,female,48,Yes,0,Los Angeles,90058,34.001617,-118.222274,5,49,Offer B,Yes,49.58,No,No,0,0.0,0,0,0,0,0,0,0,0,One Year,No,Bank Withdrawal,20.45,900.9,0.0,0,2429.42,3330.32,Stayed,0,0,-0.608757722413458,0.6769770692730951,-1.3827767825914528
32,0052-DCKON,male,28,Yes,0,Los Angeles,90063,34.044271,-118.185237,9,66,0,Yes,43.77,Yes,Yes,Fiber Optic,41.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,7942.15,0.0,0,2888.82,10830.97,Stayed,0,0,2.4985083389989056,1.3697146104555624,-2.1022697733730267
33,0052-YNYOT,female,28,No,0,Calexico,92231,32.690654,-115.431225,0,67,0,Yes,23.12,No,No,0,0.0,0,0,0,0,0,0,0,0,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,Stayed,0,0,-0.41348483305787903,1.4104638775839429,-1.3795719140356326
34,0056-EPFBG,male,33,Yes,1,Redding,96003,40.677649,-122.29467,4,20,0,No,0.0,0,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0.0,0,0.0,825.4,Stayed,0,0,-0.6420754696368394,-0.5047516774499374,-0.7754541912635758
35,0057-QBUQH,female,31,No,3,San Martin,95046,37.084697,-121.606417,0,43,0,Yes,30.64,Yes,No,0,0.0,0,0,0,0,0,0,0,0,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0.0,0,1317.52,2387.67,Stayed,0,0,-0.5340686003266066,0.43248146650281244,-1.2337503947458257
36,0058-EVZWM,female,37,Yes,0,Stockton,95209,38.044523,-121.348048,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0,279.4,5239.0,Stayed,0,0,1.182324935275782,0.9214726720433777,0.8397995608696692
37,0060-FUALY,female,60,Yes,0,Los Angeles,90003,33.964131,-118.272783,4,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0,967.01,6564.66,Stayed,0,0,1.4638929964132443,1.0844697405568993,0.9984405543827559
38,0064-SUDOG,female,48,Yes,3,Huntington Park,90255,33.97803,-118.217141,3,12,0,Yes,19.28,No,No,0,0.0,0,0,0,0,0,0,0,0,Two Year,No,Bank Withdrawal,20.3,224.5,0.0,0,231.36,455.86,Stayed,0,0,-0.9072494339617376,-0.8307458144769809,-1.3875840854251824
39,0064-YIJGF,male,60,Yes,3,Yermo,92398,35.013299,-116.834092,7,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,0.0,0,682.02,2611.02,Stayed,0,0,-0.1550626771106992,-0.21950680755127444,0.38951552877696904
40,0067-DKWBL,male,69,No,0,San Diego,92129,32.961064,-117.134917,0,2,0,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,Churned,Competitor,Competitor made better offer,-0.9661181423007981,-1.2382384857607853,-0.4597746385153126
41,0068-FIGTF,female,20,No,0,Fremont,94539,37.516791,-121.899117,0,27,Offer C,Yes,48.91,No,Yes,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0.0,0,1320.57,3399.52,Stayed,0,0,-0.08889054206240758,-0.21950680755127444,0.46803480839455747
42,0071-NDAFP,male,31,Yes,3,Santa Rosa,95405,38.439696,-122.668817,1,25,0,Yes,23.69,Yes,No,0,0.0,0,0,0,0,0,0,0,0,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,1178.43,Stayed,0,0,-0.7280396704198153,-0.3010053418080353,-1.220930920522546
43,0074-HDKDG,male,46,Yes,0,San Jose,95126,37.327069,-121.916819,5,25,0,Yes,6.45,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611.0,44.9,0,161.25,1727.35,Stayed,0,0,-0.29539438064758994,-0.3010053418080353,-0.06397337187155108
44,0076-LVEPS,male,57,No,1,Tujunga,91042,34.296574,-118.244839,0,29,0,No,0.0,0,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,12.26,0,0.0,1230.19,Stayed,0,0,-0.45803352951086374,-0.1380082732945136,-0.5959815521376596
45,0078-XZMHT,male,19,Yes,0,Visalia,93291,36.391777,-119.372842,5,72,0,Yes,32.36,Yes,Yes,DSL,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0.0,0,2329.92,8646.12,Stayed,0,0,1.78098527810014,1.614210213225845,0.6907731730240427
46,0080-EMYVY,female,64,No,0,Lodi,95240,38.123544,-121.159078,0,14,0,Yes,24.04,No,Yes,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0.0,0,336.56,1064.41,Stayed,0,0,-0.685123764228109,-0.74924728022022,-0.389267530287274
47,0080-OROZO,female,38,No,0,El Portal,95318,37.654551,-119.822984,0,35,Offer C,Yes,36.42,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532.0,0.0,0,1274.7,4806.7,Stayed,0,0,0.5523326712214889,0.10648732947576901,1.1426596393946529
48,0082-LDZUE,male,54,No,0,Calistoga,94515,38.629618,-122.593216,0,1,Offer E,Yes,42.95,No,Yes,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0.0,0,42.95,87.25,Joined,0,0,-0.9867707326326423,-1.2789877528891658,-0.6184156320283992
49,0082-OQIQY,male,50,No,0,Farmington,95230,37.956963,-120.863055,0,29,0,Yes,2.05,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0.0,20,59.45,2687.05,Stayed,0,0,0.144399882701043,-0.1380082732945136,0.9808137773257464
50,0083-PIVIK,male,25,No,0,Tulelake,96134,41.813521,-121.492666,0,64,0,Yes,5.49,Yes,Yes,DSL,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0.0,40,351.36,5958.91,Stayed,0,0,1.4506100269904132,1.2882160761988015,0.5657832993470653
51,0089-IIQKO,female,35,Yes,3,Coleville,96107,38.42528,-119.475741,1,39,0,Yes,24.38,Yes,Yes,Fiber Optic,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0.0,0,950.82,4718.22,Stayed,0,0,0.6562134354120048,0.26948439798929075,1.1650937192853923
52,0093-EXYQL,female,72,No,0,Ojai,93023,34.581308,-118.931948,0,40,0,Yes,44.14,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0.0,0,1765.6,5439.2,Stayed,0,0,0.6148199958152741,0.31023366511767114,0.895884760596518
53,0093-XWZFY,male,51,No,0,Desert Hot Springs,92241,33.832799,-116.250973,0,40,0,Yes,37.69,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0.0,0,1507.6,5544.45,Churned,Competitor,Competitor had better devices,0.7751202829529331,0.31023366511767114,1.3109152385751992
54,0094-OIFMO,female,78,No,1,North Hollywood,91605,34.207295,-118.400022,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction,-0.5119376728663078,-0.8714950816053614,1.0064527257723057
55,0096-BXERS,female,30,Yes,0,Inverness,94937,38.099323,-122.945723,10,6,Offer E,Yes,42.66,Yes,Yes,Cable,85.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0.0,0,255.96,570.51,Stayed,0,0,-0.8675108493595458,-1.0752414172472635,-0.42452108440129327
56,0096-FCPUF,male,58,No,0,Santa Rosa,95404,38.526941,-122.709096,0,30,0,Yes,2.64,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0.0,0,79.2,1967.65,Stayed,0,0,-0.17295717578497882,-0.09725900616613314,0.028967816247226864
57,0098-BOWSO,male,26,No,0,San Jose,95131,37.387027,-121.897775,0,27,0,Yes,20.66,No,No,0,0.0,0,0,0,0,0,0,0,0,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0.0,0,557.82,1087.62,Stayed,0,0,-0.7725221726730184,-0.21950680755127444,-1.416427902427562
58,0100-DUVFC,male,66,Yes,0,Wilmington,90744,33.782068,-118.262263,3,70,0,Yes,39.49,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,6.11,0,2764.3,10067.14,Stayed,0,0,2.2190805569877132,1.532711678969084,1.320529844242659
59,0103-CSITQ,female,20,Yes,0,Modesto,95357,37.670526,-120.877572,10,57,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,0.0,0,456.57,6709.27,Stayed,0,0,1.752963066859283,1.0029712063001386,1.467953797810376
60,0104-PPXDV,male,61,Yes,0,San Diego,92113,32.697098,-117.116587,10,58,0,Yes,18.37,No,Yes,DSL,18.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,10.23,0,1065.46,3933.78,Stayed,0,0,0.26396867223978693,1.043720473428519,-0.4261235186792034
61,0106-GHRQR,male,24,No,0,Rancho Palos Verdes,90275,33.753146,-118.367459,0,16,0,Yes,25.71,Yes,Yes,DSL,48.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0.0,0,411.36,1623.46,Stayed,0,0,-0.47142682259999785,-0.6677487459634592,0.25010374659880225
62,0106-UGRDO,female,55,Yes,0,Kenwood,95452,38.419525,-122.521585,3,69,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,8182.85,0.0,0,2657.88,10840.73,Stayed,0,0,2.6047279649150368,1.4919624118407038,1.6794751224944913
63,0107-WESLM,male,32,No,0,West Point,95255,38.41935,-120.469545,0,1,Offer E,Yes,31.77,No,No,0,0.0,0,0,0,0,0,0,0,0,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0.0,0,31.77,51.62,Churned,Attitude,Attitude of support person,-0.9975603871970354,-1.2789877528891658,-1.4020059939263723
64,0107-YHINA,male,59,No,0,Los Angeles,90062,34.003553,-118.308933,0,1,0,Yes,40.71,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0.0,0,40.71,140.46,Churned,Competitor,Competitor had better devices,-0.9623009434467286,-1.2789877528891658,1.1586839821737525
65,0111-KLBQG,male,71,Yes,1,Morongo Valley,92256,34.097863,-116.594561,9,32,Offer C,Yes,31.86,No,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0.0,0,1019.52,3880.97,Stayed,0,0,0.25642253346468985,-0.015760471909372287,0.9728016059361966
66,0112-QAWRZ,male,49,Yes,2,Palo Verde,92266,33.3249,-114.758334,8,16,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0.0,0,779.36,2221.56,Stayed,0,0,-0.36988492013509666,-0.6677487459634592,0.8718482464278685
67,0112-QWPNC,male,61,Yes,0,Valyermo,93563,34.39583,-117.734568,1,49,Offer B,Yes,39.55,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0.0,0,1937.95,5997.3,Churned,Competitor,Competitor offered higher download speeds,0.785049412920166,0.6769770692730951,0.665134224577483
68,0114-IGABW,female,40,Yes,0,Cambria,93428,35.591387,-121.032256,2,71,Offer A,No,0.0,0,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0.0,0,0.0,4145.9,Stayed,0,0,0.8232434661941215,1.5734609460974645,-0.17133646849151882
69,0114-PEGZZ,female,39,No,0,Round Mountain,96084,40.923558,-122.059933,0,33,0,Yes,49.69,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0.0,0,1639.77,5285.27,Stayed,0,0,0.6024196157228634,0.024988795219008143,1.408663729527707
70,0114-RSRRW,female,21,Yes,0,Klamath,95548,41.572813,-124.035011,9,10,Offer D,Yes,49.6,No,No,0,0.0,0,0,0,0,0,0,0,0,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,0.0,0,496.0,683.75,Stayed,0,0,-0.9234670129082179,-0.9122443487337418,-1.3988011253705523
71,0115-TFERT,male,24,Yes,0,Fresno,93650,36.841655,-119.797113,1,21,0,Yes,36.26,Yes,Yes,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,0.0,120,761.46,3198.56,Churned,Attitude,Attitude of service provider,0.016203782457436863,-0.46400241032155704,1.5256414318151346
72,0117-LFRMW,male,52,Yes,1,Angwin,94508,38.542448,-122.419923,1,37,0,No,0.0,0,Yes,DSL,23.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0.0,0,0.0,1448.8,Churned,Competitor,Competitor offered more data,-0.3669723753447084,0.18798586373252987,-0.7498152428170162
73,0118-JPNOY,female,71,No,0,Le Grand,95333,37.249377,-120.249581,0,26,0,Yes,33.74,No,Yes,Fiber Optic,7.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,2193.65,0.0,0,877.24,3070.89,Stayed,0,0,-0.038274043962780536,-0.2602560746796549,0.711604818636872
74,0121-SNYRK,male,45,No,0,Redway,95560,40.142256,-123.852927,0,50,Offer B,No,0.0,0,Yes,DSL,7.0,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,0.0,0,0.0,1748.9,Stayed,0,0,-0.23453984631508287,0.7177263364014754,-0.903648933496373
75,0122-OAHPZ,female,29,No,0,San Diego,92122,32.85723,-117.209774,0,7,0,Yes,28.62,Yes,Yes,Fiber Optic,26.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,13.03,0,200.34,698.56,Churned,Competitor,Competitor made better offer,-0.7807081887126703,-1.034492150118883,0.3286230262163902
